,City,Cloudiness,Date,Humidity,Lat,Long,Max Temps,Wind Speed,Country
0,kavieng,100,1666727450,77,-2.5744,150.7967,82.09,77,PG
1,shingu,0,1666727385,74,33.7333,135.9833,49.78,74,JP
2,luderitz,100,1666727261,62,-26.6481,15.1594,64.45,62,NA
3,upernavik,100,1666727451,94,72.7868,-56.1549,23.72,94,GL
4,cabo san lucas,16,1666727402,57,22.8909,-109.9124,88.61,57,MX
5,mar del plata,0,1666727452,82,-38.0023,-57.5575,69.82,82,AR
6,mataura,100,1666727452,69,-46.1927,168.8643,45.48,69,NZ
7,kaohsiung,75,1666727453,81,22.6163,120.3133,76.03,81,TW
8,carndonagh,100,1666727453,92,55.25,-7.2667,56.82,92,IE
9,beringovskiy,98,1666727454,83,63.05,179.3167,21.16,83,RU
10,ushuaia,0,1666727164,40,-54.8,-68.3,49.62,40,AR
11,gavle,100,1666727454,99,60.6745,17.1417,47.34,99,SE
12,cape town,20,1666727225,86,-33.9258,18.4232,61.27,86,ZA
13,vaini,100,1666727222,64,-21.2,-175.2,71.76,64,TO
14,rikitea,57,1666727203,73,-23.1203,-134.9692,72.97,73,PF
15,hwange,39,1666727455,32,-18.3693,26.5019,83.59,32,ZW
16,new norfolk,100,1666727456,86,-42.7826,147.0587,54.91,86,AU
17,albany,99,1666726987,89,42.6001,-73.9662,71.38,89,US
18,nabire,100,1666727456,90,-3.3667,135.4833,74.98,90,ID
19,eregli,0,1666727457,42,37.5133,34.0467,52.88,42,TR
20,carnarvon,0,1666727404,68,-24.8667,113.6333,64.18,68,AU
21,henties bay,76,1666727457,93,-22.116,14.2845,58.66,93,NA
22,hermanus,100,1666727458,79,-34.4187,19.2345,58.8,79,ZA
23,busselton,51,1666727203,88,-33.65,115.3333,52.79,88,AU
24,cayenne,75,1666727458,70,4.9333,-52.3333,87.84,70,GF
25,san juan,95,1666727212,19,-31.5375,-68.5364,89.46,19,AR
26,renfrew,75,1666727459,88,55.872,-4.3925,56.16,88,GB
27,mount isa,75,1666727459,94,-20.7333,139.5,73.17,94,AU
28,bredasdorp,100,1666727460,72,-34.5322,20.0403,61.48,72,ZA
29,kapaa,40,1666727237,77,22.0752,-159.319,82.72,77,US
30,chuy,2,1666727286,69,-33.6971,-53.4616,65.86,69,UY
31,itaituba,20,1666727461,70,-4.2761,-55.9836,87.96,70,BR
32,berlevag,0,1666727461,60,70.8578,29.0864,33.75,60,NO
33,maningrida,50,1666727462,79,-12.0667,134.2667,82.76,79,AU
34,barrow,100,1666727462,86,71.2906,-156.7887,17.62,86,US
35,mbuji-mayi,80,1666727464,86,-6.15,23.6,72.14,86,CD
36,ribeira grande,40,1666727246,63,38.5167,-28.7,64.8,63,PT
37,benguela,73,1666727465,77,-12.5763,13.4055,77.54,77,AO
38,sulangan,100,1666727467,74,11.1373,123.7228,82.85,74,PH
39,atuona,3,1666727468,73,-9.8,-139.0333,76.89,73,PF
40,ixtapa,11,1666727468,74,20.7,-105.2,86.23,74,MX
41,hervey bay,6,1666727407,97,-25.2986,152.8535,75.02,97,AU
42,punta arenas,0,1666727469,41,-53.15,-70.9167,55.51,41,CL
43,kijang,50,1666727470,58,35.2442,129.2139,47.93,58,KR
44,ancud,69,1666727470,76,-41.8697,-73.8203,54.72,76,CL
45,vila franca do campo,100,1666727274,70,37.7167,-25.4333,64.81,70,PT
46,amapa,100,1666727471,35,1.0,-52.0,94.64,35,BR
47,willowmore,86,1666727472,52,-33.2926,23.4895,56.21,52,ZA
48,yellowknife,99,1666727472,85,62.456,-114.3525,23.56,85,CA
49,kuli,0,1666727473,60,42.0185,47.2434,33.35,60,RU
50,bluff,100,1666727442,76,-46.6,168.3333,45.81,76,NZ
51,maroantsetra,99,1666727474,86,-15.4333,49.7333,72.01,86,MG
52,port keats,22,1666727474,78,-14.25,129.55,82.26,78,AU
53,nuuk,82,1666727475,81,64.1835,-51.7216,32.88,81,GL
54,kloulklubed,100,1666727476,78,7.0419,134.2556,84.0,78,PW
55,rocha,9,1666727476,66,-34.4833,-54.3333,69.12,66,UY
56,lompoc,0,1666727476,60,34.6391,-120.4579,81.7,60,US
57,faya,24,1666727477,72,18.3851,42.4509,64.51,72,SA
58,east london,100,1666727478,70,-33.0153,27.9116,65.5,70,ZA
59,luanda,20,1666727282,83,-8.8368,13.2343,78.8,83,AO
60,kabansk,4,1666727478,60,52.0486,106.6528,25.9,60,RU
61,tallahassee,75,1666727480,72,30.4383,-84.2807,84.4,72,US
62,bilibino,13,1666727224,99,68.0546,166.4372,-15.95,99,RU
63,knysna,100,1666727481,86,-34.0363,23.0471,59.23,86,ZA
64,kodiak,100,1666727262,81,57.79,-152.4072,42.31,81,US
65,nizhniy odes,93,1666727482,98,63.6445,54.856,20.7,98,RU
66,butaritari,42,1666727258,77,3.0707,172.7902,81.05,77,KI
67,provideniya,93,1666727300,86,64.3833,-173.3,22.57,86,RU
68,la ronge,100,1666727484,58,55.1001,-105.2842,34.11,58,CA
69,itarema,76,1666727484,71,-2.9248,-39.9167,80.51,71,BR
70,beroroha,61,1666727485,50,-21.6667,45.1667,78.58,50,MG
71,jamestown,0,1666727485,41,42.097,-79.2353,76.59,41,US
72,avarua,75,1666727486,69,-21.2078,-159.775,75.25,69,CK
73,tucumcari,0,1666727487,22,35.1717,-103.725,64.94,22,US
74,klaksvik,100,1666727488,93,62.2266,-6.589,50.92,93,FO
75,talnakh,95,1666727489,98,69.4865,88.3972,8.55,98,RU
76,hasaki,100,1666727489,57,35.7333,140.8333,53.22,57,JP
77,ust-ilimsk,73,1666727490,70,58.0006,102.6619,28.53,70,RU
78,hilo,20,1666727490,69,19.7297,-155.09,82.11,69,US
79,leningradskiy,73,1666727491,91,69.3833,178.4167,1.6,91,RU
80,clyde river,31,1666727491,88,70.4692,-68.5914,0.0,88,CA
81,honningsvag,100,1666727492,69,70.9821,25.9704,35.35,69,NO
82,zhangjiakou,100,1666727492,48,40.81,114.8794,52.02,48,CN
83,weihai,100,1666727493,68,37.5017,122.1136,54.25,68,CN
84,castro,0,1666727493,64,-24.7911,-50.0119,72.82,64,BR
85,dingle,100,1666727493,92,10.9995,122.6711,76.06,92,PH
86,sao filipe,69,1666727222,79,14.8961,-24.4956,78.08,79,CV
87,ahipara,54,1666727494,71,-35.1667,173.1667,60.57,71,NZ
88,viedma,97,1666727495,26,-40.8135,-62.9967,78.87,26,AR
89,canavieiras,100,1666727496,81,-15.675,-38.9472,75.29,81,BR
90,hithadhoo,53,1666727497,75,-0.6,73.0833,81.77,75,MV
91,victoria,100,1666727497,72,22.2855,114.1577,73.45,72,HK
92,kahului,20,1666727498,63,20.8947,-156.47,86.02,63,US
93,conceicao do araguaia,100,1666727498,85,-8.2578,-49.2647,78.64,85,BR
94,thompson,100,1666727499,94,55.7435,-97.8558,26.94,94,CA
95,qaanaaq,100,1666727499,93,77.484,-69.3632,24.08,93,GL
96,arraial do cabo,40,1666727500,73,-22.9661,-42.0278,76.96,73,BR
97,iqaluit,100,1666727500,79,63.7506,-68.5145,20.7,79,CA
98,kruisfontein,100,1666727500,76,-34.0033,24.7314,62.89,76,ZA
99,bambous virieux,40,1666727501,83,-20.3428,57.7575,73.22,83,MU
100,sao felix do xingu,100,1666727501,95,-6.6447,-51.995,77.2,95,BR
101,port moresby,40,1666727502,89,-9.4431,147.1797,78.22,89,PG
102,lebu,88,1666727236,82,-37.6167,-73.65,57.09,82,CL
103,coihaique,75,1666727503,67,-45.5752,-72.0662,59.61,67,CL
104,pemangkat,100,1666727434,89,1.1667,108.9667,77.07,89,ID
105,ampanihy,100,1666727503,78,-24.7,44.75,71.42,78,MG
106,yaan,88,1666727504,88,7.3833,8.5667,76.5,88,NG
107,souillac,40,1666727504,83,-20.5167,57.5167,71.98,83,MU
108,mao,0,1666727505,88,39.8885,4.2658,70.36,88,ES
109,umm lajj,0,1666727505,63,25.0213,37.2685,78.91,63,SA
110,hami,100,1666727505,39,42.8,93.45,50.43,39,CN
111,acapulco,53,1666727435,81,16.8634,-99.8901,83.59,81,MX
112,marsa matruh,20,1666727506,68,31.3525,27.2453,71.8,68,EG
113,capim grosso,94,1666727507,65,-11.3811,-40.0128,79.38,65,BR
114,slavonice,8,1666727507,90,48.9975,15.3515,48.7,90,CZ
115,port alfred,100,1666727507,87,-33.5906,26.891,60.19,87,ZA
116,tasiilaq,100,1666727285,94,65.6145,-37.6368,33.96,94,GL
117,mount pleasant,0,1666727302,74,32.7941,-79.8626,78.06,74,US
118,georgetown,20,1666727509,94,5.4112,100.3354,77.23,94,MY
119,guerrero negro,0,1666727340,30,27.9769,-114.0611,77.4,30,MX
120,fairbanks,0,1666727282,88,64.8378,-147.7164,23.22,88,US
121,usinsk,86,1666727511,93,65.9939,57.5281,21.33,93,RU
